TradeStep,Equity_TOP10_JPY,Equity_TOP30_JPY,Equity_TOP100_JPY
0,10000000.0,10000000.0,10000000.0
1,10080887.008668112,10133870.288348893,10117367.65893389
2,10168188.37118525,10213636.695529716,10229754.949756138
3,10308853.980754588,10266771.951931607,10342809.377181116
4,10402516.119927991,10323288.387222663,10464923.091389341
5,10500705.408153847,10419154.836755037,10590187.065253608
6,10533940.96537266,10536647.223321736,10694980.73475091
7,10703034.19196489,10667681.703541456,10788922.553925946
8,10832150.732156418,10799094.323998876,10920188.459136158
9,10816675.577528384,10857700.335082041,11017215.88639889
10,10871830.937161032,10972586.01730568,11155137.995016333
11,11103346.08260201,11080296.976773178,11234050.761349728
12,11283937.949567303,11241023.569830459,11326482.198500482
13,11456374.354269225,11369883.535042632,11444696.348017693
14,11449650.66676807,11427362.178586973,11519190.01019566
15,11522963.84469656,11489786.747334253,11637595.951377451
16,11506424.739700383,11640187.247696206,11762316.898685718
17,11558004.914165221,11712709.227469787,11828390.356053017
18,11685809.099362765,11825831.139617741,11908334.344156146
19,11915071.43573885,12036074.290539216,12043760.954300538
20,12074626.77066491,12183261.804187201,12211675.341081353
21,12219543.645163814,12297152.413124299,12343979.96066349
22,12375952.035661835,12466342.251977775,12466351.822300365
23,12354127.20546195,12528871.977365995,12576674.624006115
24,12626831.552945258,12750660.614928039,12722600.528338917
25,12722992.548706697,12844369.014926525,12846760.500019621
26,12821209.999663752,12974813.397735914,12958177.75079407
27,13053073.836052645,13115298.165973816,13093634.101997709
28,13136252.075390326,13231607.199100042,13205155.320812557
29,13267830.983927043,13376652.043760566,13358316.752995605
30,13486648.817122266,13551715.937191637,13489632.487027664
31,13660412.59312474,13663668.357811263,13609512.956066571
32,13713562.06240562,13807855.744703544,13764709.277118921
33,13835843.761327451,13923252.236189324,13884239.185773589
34,14061872.07436469,14094410.741264816,14047782.934242185
35,14305320.69632977,14342911.37251556,14192912.946358912
36,14333287.132292682,14550272.608125048,14373021.71126317
37,14498407.842214301,14719266.68996503,14491990.519614475
38,14618871.509092128,14839260.343633438,14645934.785256416
39,14853212.733109273,15053167.751915311,14802289.172548743
40,14877159.91558453,15187462.725989755,14925513.826771542
41,15007982.820875064,15359715.396656163,15137642.359758593
42,15263811.703199293,15552133.207576558,15317066.341243094
43,15446818.680123089,15662374.947052708,15488974.39420985
44,15541815.23717707,15747706.651025603,15611784.130896151
45,15619924.402226305,15814158.776405336,15768843.17142194
46,15797923.646959893,15914122.899429359,15911376.534948366
47,15908639.765053632,16029703.431532806,16083796.582821768
48,16065024.59761751,16224664.925057195,16295876.013079988
49,16194418.750889713,16471442.538619254,16447258.482158555
50,16417309.988589415,16647193.471807854,16591610.265804276
51,16595521.282692932,16840564.671496112,16787691.191893023
52,16851708.95393513,17063356.223362878,16971086.81017289
53,17155997.75704279,17178044.16573659,17140240.986551754
54,17424151.75435761,17358999.262745395,17341989.177450757
55,17461684.79833928,17542188.906283572,17522773.18833631
56,17598135.719636694,17740553.308092732,17739569.077171873
57,17659902.901211806,17832824.4668511,17874151.901397094
58,17935510.25306393,17944776.04857925,18066088.99440514
59,18136293.41861663,18226920.838484693,18285634.889101427
60,18344784.754883077,18469039.729262754,18474999.78117695
61,18528589.180082887,18733340.186702814,18686424.971290316
62,18690392.250676744,18889109.99642362,18877423.457947522
63,18700697.341482222,19050153.738637015,19033461.717930853
64,19023500.118606143,19293128.31568355,19242133.210450314
65,19074935.861369103,19468358.06915543,19419241.461247884
66,19407246.85980063,19662213.483586606,19604046.90286407
67,19900338.649655454,19815195.71336107,19862910.795623865
68,20256020.541374274,20104650.78986575,20048392.48384412
69,20583503.317307133,20389777.183697376,20244038.73016368
70,20722254.72021748,20633396.041086774,20465487.329804692
71,20833573.673965007,20872640.751820937,20680262.073996063
72,21087158.336065855,21052524.474020828,20911141.684605204
73,21224617.89081551,21277299.48394242,21162627.597835187
74,21445122.426992197,21591653.416565668,21369721.438031767
75,21683459.073386583,21914154.951850466,21609676.0448225
76,21876892.499317564,22132961.219199803,21820342.115717284
77,21882120.213910796,22332445.33604204,22061798.557211608
78,22233604.107474662,22639625.346464958,22301095.129194386
79,22521388.929376002,22998397.26291212,22615139.186491422
80,22862108.99981156,23296919.549784724,22896104.632731725
81,23261473.947985042,23598731.369468354,23208762.920875847
82,23493301.28507426,23835023.4598974,23382421.76013509
83,23596472.591954254,24074672.29360573,23632872.31627401
84,23898183.605167948,24391230.43716144,23866299.141048834
85,24157650.79596185,24734102.63489559,24116086.67395075
86,24408572.10086599,24992861.108150683,24361331.087291054
87,24662048.40931939,25229816.68604921,24622121.629762124
88,24970924.316341467,25449219.018993184,24885612.207456574
89,25047394.927075896,25641934.760561563,25096370.793239716
90,24943367.704803668,25775144.11695006,25363369.00024653
91,25088125.33535641,26089084.777741466,25693602.81860102
92,25253120.38461269,26257770.73830857,25936598.668513775
93,25413361.350788813,26578346.005399544,26180430.02981013
94,25823490.11279647,26968161.298930362,26562705.935882
95,25874552.731537376,27205667.24594841,26901666.30070181
96,26254991.32518179,27412799.620747752,27188691.09549972
97,26415148.53354438,27705043.24309007,27467547.93667348
98,26846273.593255468,28158926.517909657,27779258.144826695
99,26980438.073965408,28319851.094750978,27972333.58611512
100,27228245.22464237,28530937.104448922,28234017.49217315
101,27689666.437179066,28846636.413226385,28581668.946520485
102,27979798.715074964,29162392.517063916,28857171.64354353
103,28172528.312365934,29466040.092714977,29102839.163607147
104,28602275.73726881,29878484.28761641,29425422.658319224
105,28917208.1583351,30156227.5669697,29688161.91374705
106,29492090.11765427,30671660.783506505,30059803.269194193
107,29936242.81239517,31013495.638115264,30322340.84528613
108,30333606.122857634,31446856.854743637,30630272.616600905
109,30476157.025713045,31727423.80055515,30949598.181711245
110,30901438.94024014,32236045.1592065,31346922.81557915
111,31214771.15419579,32532728.39739768,31702355.31271244
112,31601765.59702504,32947386.578971636,32080347.869851068
113,31912164.875130676,33225799.944749292,32382559.259472527
114,32256174.45642156,33583160.82486402,32761592.448398177
115,32598631.373222686,34018888.961222865,33210933.845042
116,32709540.382146437,34251365.15767877,33538247.0541422
117,33105434.12338635,34559357.27406429,33748869.468188174
118,33784310.1283994,34915667.93986095,34044999.917979635
119,34028395.10471245,35221336.505868666,34389897.91148881
120,34231210.65348657,35699730.02557578,34798820.76746095
121,34733319.599793084,36138488.87586894,35160072.05817235
122,35260584.12818246,36772956.08894649,35600914.819737084
123,35608712.12028377,37141870.06205526,36041871.97738645
124,35812039.659856364,37504161.05612523,36407463.77706214
125,36270937.04417422,37860181.22947908,36791693.69591897
126,36458644.87824506,38255678.71148957,37096655.47546156
127,36918693.83420909,38678677.53268977,37550773.87254888
128,37306326.78965366,39059537.150401436,37912919.02242327
129,37543647.26009753,39445441.03707342,38345034.433636785
130,38015905.75631605,39925214.325635776,38710151.99280232
131,38076753.63411611,40079293.67310953,39080751.534112595
132,38265115.473511934,40433409.32767655,39457058.66015177
133,38945198.32763765,41098855.676104166,40017919.264813736
134,39537825.945416674,41543093.2663615,40419774.589376375
135,39741011.06554836,41877829.79626759,40748822.65401626
136,40336319.13292719,42310118.18457466,41138666.315110266
137,40829817.18302185,42688686.21402852,41590565.38541469
138,41191229.48981483,43069602.98913271,42109866.26696573
139,41654862.71563668,43465950.162624046,42554552.19961482
140,42153906.378770754,43882715.07438767,42888842.71537003
141,42796237.88921593,44366117.29743754,43382569.982431285
142,43873758.030767694,45113295.30574499,43846130.996339716
143,44147882.66544055,45513137.13930984,44289317.26097382
144,44683080.353454635,46317622.154545516,44678160.624159366
145,45083233.38046303,46788341.72100831,45172984.828254424
146,46023417.36909063,47403869.67077833,45577702.275646456
147,46867864.51478803,48150277.23302646,46004920.491114296
148,47126226.92909949,48610432.156622015,46588846.920643285
149,48094355.84602558,49154050.882798515,47110861.60152171
150,48602397.88363865,49813871.93050716,47596265.44659646
151,48618770.15939181,50205671.763703026,48092314.161168255
152,48966772.98985668,50759073.398177736,48588737.75868957
153,49704718.28908186,51250532.0338224,49204536.64601834
154,50611417.84360345,51884255.37459102,49699120.28201256
155,51144972.31891047,52401153.37635985,50212277.55253065
156,51491986.17439184,52749638.844700284,50683263.534491025
157,51684346.15476649,53028013.21813091,51028285.237081006
158,52042185.61455692,53410793.55314596,51582054.807990685
159,52188449.66209133,53997793.91475889,52181648.87042323
160,52892644.66395038,54534105.91044788,52665845.335308805
161,53166513.99383041,55029208.367976956,53228512.61768598
162,53549519.25253838,55248367.10160154,53630938.471160464
163,54009036.14784319,55808753.54203106,54311373.60859619
164,54494339.518684715,56392133.80547785,54727661.47806055
165,54991800.747157484,57160147.53596062,55380648.878262416
166,56079447.35561554,57868431.88184805,55959188.39434921
167,57065602.23959087,58624800.61368046,56459194.9896003
168,57756970.638112366,59145752.30707626,57034626.00908346
169,58209023.15360187,59743134.15133543,57494421.16515535
170,58788986.744529895,60652777.99005005,58310748.17847782
171,58819526.714420624,60994186.35546617,58923715.77070171
172,59033749.79924373,61440428.13909835,59384168.9249464
173,59485399.38663976,62252422.418112926,60041621.03364086
174,61093231.31241754,63116310.655093156,60745224.214173734
175,62430712.18355677,64032711.41922924,61626137.0109917
176,62958520.30593571,64511396.10009653,62105073.159479156
177,62832451.96656563,65012046.404966384,62849105.59574637
178,63333752.714282274,65681835.67044384,63442351.78375047
179,64194240.66953415,66533056.623421445,63918030.49722083
180,64669136.106850274,67048379.34951038,64347981.88008428
181,65857536.91587874,67974827.68304396,65091342.00411659
182,66669447.492337406,68908191.45039576,65635391.3511977
183,67332218.42711578,69794421.14119399,66434965.17310558
184,67269513.88591953,70437026.7590212,67100378.36024913
185,68154839.88441308,71228027.17140342,67886859.52351573
186,68342788.08507282,72073419.80000937,68684020.40269712
187,68614575.36315382,72630341.59309186,69302430.94010073
188,69131637.35625634,73755616.31210844,70183922.2231779
189,68612341.78369822,73919475.2940408,70741862.97703226
190,69565957.11796658,74243333.17385542,71204111.18992835
191,69378996.79910284,74465253.99011752,71854508.30720982
192,70168096.73575364,75125170.5215393,72398507.19724172
193,71893049.3821974,76650513.17433362,73497434.30155617
194,72730782.6297326,77492896.67655371,74234300.82546614
195,73442938.48566285,78254677.35930319,74890955.49593383
196,74337306.46554849,79114040.57529669,75636789.45791277
197,75351341.70606993,79431514.43082839,76456511.3654287
198,76585153.4614329,80266183.94361976,77485171.81143533
199,77011119.36702923,80867026.5545539,78136820.27327201
200,77103078.64387378,81235670.39219472,79104729.8504124
201,78082971.46408848,82097117.21283728,80071447.49715583
202,79172268.51655655,83219780.8473962,80941869.0354315
203,79946347.33276846,83929660.38211854,81751025.33767353
204,80457547.55341475,85006281.22961585,82506175.14351343
205,81232511.49300703,85707998.56296596,83287604.67402208
206,81672001.35974033,86369242.17823452,84047246.34270939
207,82214636.05355355,87407445.66284679,85066522.42332317
208,83073024.0667901,88101744.39995383,86055270.64528748
209,83747481.02340539,88908031.43838306,86881748.73027897
210,84072051.3941792,89777515.54677565,87779253.31118816
211,85094392.45003025,91274588.27696115,88847095.47792992
212,86048446.42008126,92254699.69331318,89844009.23572505
213,86306037.25288479,92923030.75316301,90838652.03488305
214,85797748.84550968,93120361.08552104,91781484.04861799
215,86821867.4155866,93584558.51657733,92518308.45019561
216,87696557.35611318,94718398.00657274,93339494.76556754
217,89715325.0683036,95866228.53250556,94490375.6747233
218,90984110.67746603,96786973.38806994,95299385.34869999
219,91134220.51040909,97652493.70445687,96097567.14755005
220,91522744.46034047,98771903.01127733,97330129.483604
221,92983118.51004407,99883222.25869027,98209449.88765214
222,94328320.60388868,100521745.02813935,99070366.49279025
223,95389845.96867366,101643279.2307693,100307028.3426095
224,95418028.0493872,102743649.82892811,101386106.90425633
225,96590371.59937622,104317415.40977861,102276450.43404095
226,97867037.72421606,105460645.04812743,103229378.47872066
227,99213158.58779371,106755899.92103136,104268411.32141227
228,99200364.62346685,107706238.41394772,105298841.1218697
229,100150270.86419235,108935188.44475318,106235212.49591771
230,101255528.37822597,110129078.04402855,107359768.62515874
231,102136640.42821044,111784676.62984857,108466181.65907444
232,102604088.63828255,113252910.88343155,109823102.48811142
233,104372991.53847988,114345923.07378812,110930573.26035395
234,105446081.8264465,115184593.02028942,111858999.1771129
235,106641277.66931042,115816035.19330133,112980996.268329
236,107633317.22263598,117185099.19999076,114130972.62983167
237,108741692.75737311,118481730.7441168,115254138.93070798
238,111203029.87463883,119998902.62050271,116285323.51721933
239,111533209.05985935,120701718.40898977,117456043.43713345
240,114271103.23200198,122514577.15627813,118795871.23937385
241,116774093.21417774,124426109.06101216,119887103.46805255
242,117891141.5121641,125615186.71113805,121282976.82874428
243,120245999.6491743,127321929.37789789,122646165.53343505
244,120537551.38476755,128297585.795704,123356282.17271113
245,120108990.5564186,129334481.50217114,124312747.49339458
246,121696110.4580303,131160729.37451449,125837741.87219581
247,123069324.5993277,132544206.68620369,126973766.37412325
248,124907027.54286927,134109531.35537714,128558351.31670712
249,126124525.53789541,135843966.79416662,129709492.0140429
250,126845627.15437496,136077850.12769488,130705195.55697426
251,127659406.70565952,137649973.35157543,132531647.66797693
252,129314924.39580165,138783639.18476343,133905660.35404943
253,129630340.15025547,139039459.69243002,135034242.82550132
254,130803159.72305064,140785715.87425405,136579019.6678744
255,132491841.3384998,142080139.2615948,137733338.71578932
256,133090428.4046334,143385781.70709333,139487964.3507565
257,134740098.98053855,145063807.03403965,140954774.17305014
258,135842709.51162505,146850474.52438635,143003692.54912052
259,137697872.4386636,149364325.9437898,144936326.64080033
260,138332825.49632812,151237107.55987754,146424150.0218246
261,140645493.98832902,153106555.0157283,148270469.90375945
262,142162195.9751823,154112687.77332574,149430924.05608192
263,143327591.92890647,155779821.4740354,150903855.11181915
264,145955701.3962932,158267060.82404283,152799454.76961538
265,147070099.90593022,160022268.16880372,154345956.73760733
266,148026301.01630595,161292109.51100963,155655025.73795277
267,148786049.2179731,163265248.7645143,157510432.22098902
268,148829050.8734083,163574261.18512762,158983972.10613993
269,149942794.12388724,165297751.33754,160757748.53233844
270,152197348.09433335,167309886.36340877,162644867.17948288
271,153684378.97687677,168963142.52402312,164534562.312118
272,154780144.13793623,171605036.18943706,166503241.83362117
273,155976471.35567462,173587508.7409156,168394641.2372753
274,159093021.79478124,175498019.9529824,170253393.1805379
275,162035847.92086926,178397917.21752283,172242258.0017529
276,164547731.50576094,180732835.88420564,173917478.68241635
277,166292499.78622264,182279210.49753127,175520582.88447058
