date,stage,ticker,company_name,allocated_capital,entry_price,exit_status,pnl,return_pct
2026-05-18,08:30 Morning TOP 5,6645.JP,オムロン,600000.0,1141.0,TP_HIT,22020.0,3.67
2026-05-18,08:30 Morning TOP 5,8035.JP,東京エレクトロン,600000.0,5111.0,SL_HIT,-11760.0,-1.96
2026-05-18,08:30 Morning TOP 5,7203.JP,トヨタ自動車,600000.0,1341.0,SL_HIT,-11760.0,-1.96
2026-05-18,08:30 Morning TOP 5,6146.JP,ディスコ,600000.0,2515.0,TP_HIT,21480.0,3.58
2026-05-18,08:30 Morning TOP 5,9984.JP,ソフトバンクグループ,600000.0,5458.0,TP_HIT,21300.0,3.55
2026-05-18,08:30 Morning TOP 5,6920.JP,レーザーテック,600000.0,2148.0,TP_HIT,23340.0,3.89
2026-05-18,08:30 Morning TOP 5,6861.JP,キーエンス,600000.0,5328.0,TP_HIT,20040.0,3.34
2026-05-18,08:30 Morning TOP 5,7011.JP,三菱重工業,600000.0,3580.0,SL_HIT,-12000.0,-2.0
2026-05-18,08:30 Morning TOP 5,6501.JP,日立製作所,600000.0,5859.0,TP_HIT,20580.0,3.43
2026-05-18,08:30 Morning TOP 5,8058.JP,三菱商事,600000.0,5296.0,SL_HIT,-12240.0,-2.04
2026-05-18,10:30 Intraday TOP 3,3103.JP,ユニチカ,666666.7,4025.0,TP_HIT,25933.3,3.89
2026-05-18,10:30 Intraday TOP 3,7094.JP,ネクストーン,666666.7,2884.0,SL_HIT,-13733.3,-2.06
2026-05-18,10:30 Intraday TOP 3,4635.JP,東インキ,666666.7,3208.0,SL_HIT,-14200.0,-2.13
2026-05-18,10:30 Intraday TOP 3,4052.JP,フィーチャ,666666.7,2268.0,TP_HIT,23400.0,3.51
2026-05-18,10:30 Intraday TOP 3,4404.JP,ミヨシ油脂,666666.7,3786.0,TP_HIT,25266.7,3.79
2026-05-18,10:30 Intraday TOP 3,6998.JP,タングス,666666.7,3904.0,TP_HIT,26200.0,3.93
2026-05-19,08:30 Morning TOP 5,6645.JP,オムロン,609232.0,1212.0,TP_HIT,22358.8,3.67
2026-05-19,08:30 Morning TOP 5,8035.JP,東京エレクトロン,609232.0,1012.0,TP_HIT,21688.7,3.56
2026-05-19,08:30 Morning TOP 5,7203.JP,トヨタ自動車,609232.0,3747.0,TP_HIT,20592.0,3.38
2026-05-19,08:30 Morning TOP 5,6146.JP,ディスコ,609232.0,3009.0,TP_HIT,21810.5,3.58
2026-05-19,08:30 Morning TOP 5,9984.JP,ソフトバンクグループ,609232.0,3635.0,TP_HIT,21627.7,3.55
2026-05-19,08:30 Morning TOP 5,6920.JP,レーザーテック,609232.0,3694.0,TP_HIT,23699.1,3.89
2026-05-19,08:30 Morning TOP 5,6861.JP,キーエンス,609232.0,2830.0,TP_HIT,20348.3,3.34
2026-05-19,08:30 Morning TOP 5,7011.JP,三菱重工業,609232.0,5366.0,TP_HIT,23272.7,3.82
2026-05-19,08:30 Morning TOP 5,6501.JP,日立製作所,609232.0,4243.0,TP_HIT,20896.7,3.43
2026-05-19,08:30 Morning TOP 5,8058.JP,三菱商事,609232.0,4486.0,SL_HIT,-12428.3,-2.04
2026-05-19,10:30 Intraday TOP 3,3103.JP,ユニチカ,676924.4,3456.0,TP_HIT,26332.4,3.89
2026-05-19,10:30 Intraday TOP 3,7094.JP,ネクストーン,676924.4,3888.0,TP_HIT,25926.2,3.83
2026-05-19,10:30 Intraday TOP 3,4635.JP,東インキ,676924.4,5699.0,TP_HIT,25249.3,3.73
2026-05-19,10:30 Intraday TOP 3,4052.JP,フィーチャ,676924.4,3877.0,TP_HIT,23760.0,3.51
2026-05-19,10:30 Intraday TOP 3,4404.JP,ミヨシ油脂,676924.4,4573.0,TP_HIT,25655.4,3.79
2026-05-19,10:30 Intraday TOP 3,6998.JP,タングス,676924.4,3784.0,TP_HIT,26603.1,3.93
2026-05-20,08:30 Morning TOP 5,6645.JP,オムロン,629475.6,2703.0,TP_HIT,23101.8,3.67
2026-05-20,08:30 Morning TOP 5,8035.JP,東京エレクトロン,629475.6,4350.0,SL_HIT,-12337.7,-1.96
2026-05-20,08:30 Morning TOP 5,7203.JP,トヨタ自動車,629475.6,5420.0,SL_HIT,-12337.7,-1.96
