stage,ticker,company_name,entry_price,exit_price,shares,status,pnl,return_pct
08:30 TOP5,4527.JP,ロート製薬,2944.2,3058.0,203,TP達成 (利確),23101.4,3.87
08:30 TOP5,8035.JP,東京エレクトロン,57965.5,60724.8,10,TP達成 (利確),27593.0,4.76
08:30 TOP5,7203.JP,トヨタ自動車,2896.8,3015.0,207,TP達成 (利確),24467.4,4.08
08:30 TOP5,6146.JP,ディスコ,44272.3,45914.3,13,TP達成 (利確),21346.0,3.71
08:30 TOP5,9984.JP,ソフトバンクG,9253.9,9688.1,64,TP達成 (利確),27788.8,4.69
08:30 TOP5,6998.JP,日本タングステン,3227.9,3351.7,185,TP達成 (利確),22903.0,3.84
08:30 TOP5,3907.JP,シリコンスタジオ,1706.8,1785.3,351,TP達成 (利確),27553.5,4.6
08:30 TOP5,4052.JP,フィーチャ,543.2,562.4,1104,TP達成 (利確),21196.8,3.53
08:30 TOP5,7709.JP,クボテック,268.5,264.3,2234,SL撤退 (損切),-9382.8,-1.56
08:30 TOP5,4234.JP,サンエー化研,612.7,639.3,979,TP達成 (利確),26041.4,4.34
